HistoricalDate,Index Name,INDEX_NAME,OPEN,HIGH,LOW,CLOSE
2016-06-15,Nifty Bank,Nifty Bank,17746.05,17943.65,17659.6,17917.00
2016-06-16,Nifty Bank,Nifty Bank,17827.6,17827.6,17545.8,17671.00
2016-06-17,Nifty Bank,Nifty Bank,17772.3,17843.15,17590.75,17696.00
2016-06-20,Nifty Bank,Nifty Bank,17425.8,17779,17425.8,17718.00
2016-06-21,Nifty Bank,Nifty Bank,17761.65,17763.3,17585.65,17619.00
2016-06-22,Nifty Bank,Nifty Bank,17610.1,17755.25,17518.15,17626.00
2016-06-23,Nifty Bank,Nifty Bank,17630.8,17907.5,17611,17892.00
2016-06-24,Nifty Bank,Nifty Bank,17213.85,17459.2,16946.35,17426.00
2016-06-27,Nifty Bank,Nifty Bank,17346.3,17611.2,17346.3,17514.00
2016-06-28,Nifty Bank,Nifty Bank,17497,17626.7,17481.5,17561.00
2016-06-29,Nifty Bank,Nifty Bank,17643.65,17728.95,17580.5,17689.00
2016-06-30,Nifty Bank,Nifty Bank,17825.3,17975.05,17795.9,17935.00
2016-07-01,Nifty Bank,Nifty Bank,18019.7,18074.95,17955.3,17985.00
2016-07-04,Nifty Bank,Nifty Bank,18091.75,18146.35,18054.8,18097.00
2016-07-05,Nifty Bank,Nifty Bank,18122.4,18124.1,17989.6,18004.00
2016-07-07,Nifty Bank,Nifty Bank,18036.3,18146.55,17997.1,18084.00
2016-07-08,Nifty Bank,Nifty Bank,18078.05,18079.2,17910.9,18016.00
2016-07-11,Nifty Bank,Nifty Bank,18268.15,18409.45,18243.3,18390.00
2016-07-12,Nifty Bank,Nifty Bank,18527.85,18684.45,18464.15,18667.00
2016-07-13,Nifty Bank,Nifty Bank,18704.9,18711.6,18546.25,18618.00
2016-07-14,Nifty Bank,Nifty Bank,18633.5,18880.9,18580.2,18863.00
2016-07-15,Nifty Bank,Nifty Bank,18887.9,19016.1,18772.45,18953.00
2016-07-18,Nifty Bank,Nifty Bank,18998.3,19158,18885,18923.00
2016-07-19,Nifty Bank,Nifty Bank,18970.15,19030.05,18833.6,18905.00
2016-07-20,Nifty Bank,Nifty Bank,18896.8,19016.25,18886.3,18968.00
2016-07-21,Nifty Bank,Nifty Bank,18967.4,19000.3,18644.55,18674.00
2016-07-22,Nifty Bank,Nifty Bank,18697.8,18735.4,18551.3,18690.00
2016-07-25,Nifty Bank,Nifty Bank,18594.95,19035.35,18572.1,18989.00
2016-07-26,Nifty Bank,Nifty Bank,18979.1,19044.45,18814.25,18860.00
2016-07-27,Nifty Bank,Nifty Bank,18908.45,19125,18882.4,19021.00
2016-07-28,Nifty Bank,Nifty Bank,19050.4,19126.75,18998.8,19076.00
2016-07-29,Nifty Bank,Nifty Bank,19047.05,19070.15,18912.6,18953.00
2016-08-01,Nifty Bank,Nifty Bank,18896.5,19078.5,18634.4,18740.00
2016-08-02,Nifty Bank,Nifty Bank,18783.6,18866.55,18671.85,18708.00
2016-08-03,Nifty Bank,Nifty Bank,18680.95,18775.4,18542.6,18602.00
2016-08-04,Nifty Bank,Nifty Bank,18724.9,18724.9,18443.65,18571.00
2016-08-05,Nifty Bank,Nifty Bank,18725.2,18943.15,18708.25,18925.00
2016-08-08,Nifty Bank,Nifty Bank,18986.75,19028.7,18896,18939.00
2016-08-09,Nifty Bank,Nifty Bank,18968.65,19008.15,18838.6,18933.00
2016-08-10,Nifty Bank,Nifty Bank,18966.85,18985.25,18611.25,18647.00
2016-08-11,Nifty Bank,Nifty Bank,18621,18699.2,18537.1,18640.00
2016-08-12,Nifty Bank,Nifty Bank,18698.3,18986.8,18695.5,18963.00
2016-08-16,Nifty Bank,Nifty Bank,19029.1,19062.2,18839.4,19002.00
2016-08-17,Nifty Bank,Nifty Bank,19044.55,19138.35,18966.35,19041.00
2016-08-18,Nifty Bank,Nifty Bank,19087.2,19367.45,19083,19352.00
2016-08-19,Nifty Bank,Nifty Bank,19419,19457.4,19327.2,19414.00
2016-08-22,Nifty Bank,Nifty Bank,19432.6,19493.2,19252.75,19330.00
2016-08-23,Nifty Bank,Nifty Bank,19311.9,19372.65,19246.9,19341.00
2016-08-24,Nifty Bank,Nifty Bank,19358.7,19392.2,19284.35,19355.00
2016-08-25,Nifty Bank,Nifty Bank,19383.7,19432.75,19282.8,19304.00
2016-08-26,Nifty Bank,Nifty Bank,19336.45,19358,19133.9,19195.00
2016-08-29,Nifty Bank,Nifty Bank,19174.45,19247.85,19096.7,19217.00
2016-08-30,Nifty Bank,Nifty Bank,19306.5,19546.35,19306.5,19531.00
2016-08-31,Nifty Bank,Nifty Bank,19595.9,19823.4,19595.9,19787.00
2016-09-01,Nifty Bank,Nifty Bank,19805.8,19928.2,19738.3,19788.00
2016-09-02,Nifty Bank,Nifty Bank,19830.35,19911.25,19787.6,19883.00
2016-09-06,Nifty Bank,Nifty Bank,19990.95,20459.45,19990.95,20426.00
2016-09-07,Nifty Bank,Nifty Bank,20505.8,20575.8,20376.75,20406.00
2016-09-08,Nifty Bank,Nifty Bank,20439.2,20477.4,20335.2,20417.00
2016-09-09,Nifty Bank,Nifty Bank,20274.75,20349.7,20139.15,20245.00
2016-09-12,Nifty Bank,Nifty Bank,19861.45,19861.45,19735.55,19790.00
2016-09-14,Nifty Bank,Nifty Bank,19757.05,19953.15,19732.15,19909.00
2016-09-15,Nifty Bank,Nifty Bank,19927.6,19955.4,19730.25,19837.00
2016-09-16,Nifty Bank,Nifty Bank,19935.85,20227.2,19783.6,19855.00
